904	917	5	1.785	0.618
917	943	4	0.972	2.743
917	924	5	1.801	1.115
924	943	5	1.080	1.547
924	937	6	1.638	0.655
937	943	6	1.770	0.674
943	953	2	1.611	0.622
953	975	1	0.736	1.929
953	961	2	1.766	1.124
961	975	2	1.453	0.711
975	1081	1	1.736	1.425
984	1081	2	1.435	0.932
984	1015	3	1.636	0.450
1015	1081	3	1.693	0.239
1081	1118	1	0.675	2.162
1081	1110	2	0.897	1.296
1081	1099	3	1.251	0.281
1099	1110	3	1.467	0.711
1110	1118	2	1.232	0.806
1118	1157	1	1.305	2.119
1118	1128	2	1.438	0.940
1128	1157	2	1.865	0.936
1157	1219	1	1.760	1.217
1176	1219	2	1.989	0.648
1176	1208	3	1.578	0.170
1219	1226	1	1.601	1.209
1226	1243	1	1.045	1.275
1226	1235	2	1.277	0.184
1235	1243	2	1.886	0.720
1243	1283	1	0.981	3.365
1243	1277	2	1.072	1.985
1243	1261	3	1.193	1.550
1243	1254	4	1.764	0.449
1254	1261	4	1.964	1.083
1261	1277	3	1.398	0.299
1277	1283	2	1.881	1.259
1283	1310	1	0.906	2.456
1283	1303	2	1.192	1.687
1283	1297	3	1.523	0.357
1297	1303	3	2.174	0.898
1303	1310	2	1.527	0.637
1310	1374	1	1.109	3.645
1310	1367	2	1.214	2.594
1310	1317	3	2.022	1.132
1317	1367	3	2.132	1.232
1317	1333	4	1.726	0.027
1333	1367	4	1.776	0.008
1367	1374	2	1.760	0.896
1374	1392	1	0.960	2.093
1374	1384	2	1.808	0.789
1384	1392	2	2.008	1.037
1392	1411	1	0.836	1.645
1392	1403	2	1.462	0.642
1403	1411	2	1.927	0.924
1411	1425	1	1.205	2.193
1411	1418	2	2.359	1.053
1418	1425	2	1.988	0.682
1425	1470	1	1.060	3.231
1425	1463	2	0.899	1.794
1425	1435	3	1.545	0.969
1435	1463	3	1.375	0.785
1435	1448	4	1.859	0.230
1463	1470	2	1.882	1.185
1470	1497	1	0.672	2.384
1470	1480	2	1.352	0.683
1480	1497	2	0.899	1.577
1480	1489	3	1.880	0.930
1489	1497	3	1.380	0.451
1497	1519	1	1.043	1.478
1497	1504	2	1.398	0.431
1504	1519	2	1.309	0.522
1519	1703	1	1.248	6.535
1519	1604	2	2.515	2.727
1528	1604	3	2.097	1.460
1537	1604	4	1.771	0.525
1537	1585	5	1.621	0.157
1604	1703	2	2.070	3.515
1604	1694	3	2.685	1.859
1604	1681	4	1.827	0.463
1694	1703	3	1.564	0.935
1703	1718	1	0.543	2.415
1703	1712	2	1.423	0.894
1712	1718	2	2.029	1.385
1718	1728	1	2.031	1.565
1728	1781	1	0.871	1.574
1728	1770	2	0.777	0.962
1728	1747	3	1.082	0.899
1728	1740	4	1.303	0.186
