2251	2286	1	0.803	3.762
2251	2267	2	1.325	1.578
2251	2257	3	1.691	0.426
2257	2267	3	1.792	0.643
2267	2275	2	2.091	1.290
2275	2286	2	1.504	0.844
2286	2296	1	1.838	1.362
2296	2393	1	1.142	0.602
2296	2372	2	1.429	0.456
2372	2393	2	1.007	0.032
2393	2443	1	0.978	1.063
2409	2422	2	1.619	0.777
2422	2443	2	1.153	0.208
2429	2443	3	1.077	0.127
2443	2452	1	1.461	0.937
2452	2556	1	1.827	1.562
2452	2543	2	1.900	0.958
2452	2530	3	1.506	0.151
2556	2581	1	0.904	1.370
2556	2566	2	1.298	0.332
2566	2581	2	1.003	0.788
2566	2573	3	1.573	0.409
2573	2581	3	1.285	0.174
2581	2714	1	1.128	2.093
2581	2652	2	1.257	0.786
2581	2615	3	1.486	0.066
2629	2636	3	1.156	0.309
2636	2644	3	0.826	0.054
2644	2652	3	1.000	0.354
2652	2693	2	1.468	0.509
2652	2660	3	1.435	0.143
2693	2714	2	1.198	0.769
2693	2705	3	1.342	0.161
2705	2714	3	1.302	0.244
2714	2733	1	1.669	0.799
2733	2744	1	2.436	1.841
2754	2773	1	1.266	0.207
2773	2792	1	1.742	0.786
2792	2859	1	1.255	0.029
2859	2869	1	1.065	0.154
2869	2876	1	1.220	0.355
2876	2882	1	1.103	0.410
2956	2974	1	1.723	0.610
2974	2986	1	1.476	0.041
2998	3009	1	1.438	0.338
3009	3042	1	1.631	0.644
3042	3073	1	0.800	1.845
3042	3048	2	1.034	0.555
3048	3073	2	0.865	1.249
3048	3058	3	1.346	0.577
3058	3073	3	1.564	0.533
3105	3124	1	1.615	0.516
3124	3163	1	1.492	0.656
3143	3150	2	1.562	0.388
3163	3194	1	1.093	0.271
3163	3178	2	1.238	0.080
3178	3194	2	1.314	0.129
3194	3218	1	1.458	1.276
3194	3201	2	1.175	0.365
3201	3218	2	1.506	0.422
3218	3239	1	1.365	0.299
3239	3246	1	1.133	0.646
3246	3265	1	1.100	0.120
3265	3281	1	0.962	0.126
3281	3309	1	1.458	0.433
3325	3337	1	1.410	0.402
3337	3348	1	0.742	0.169
3348	3381	1	1.245	0.185
3381	3397	1	1.453	0.715
3397	3407	1	0.874	0.348
3407	3436	1	1.069	1.987
3407	3416	2	1.798	0.732
3416	3436	2	1.526	1.193
3416	3424	3	1.518	0.359
3424	3436	3	1.807	0.332
3436	3449	1	2.085	1.206
3449	3472	1	1.150	0.721
3449	3460	2	1.872	0.547
3472	3506	1	1.254	0.243
3486	3506	2	1.394	0.060
3506	3512	1	1.613	0.981
3512	3573	1	1.165	1.581
3512	3524	2	1.133	0.265
3524	3540	2	1.332	0.120
3540	3561	2	1.290	0.633
3540	3551	3	1.665	0.314
3551	3561	3	1.560	0.298
3561	3573	2	1.652	0.519
3573	3586	1	0.820	0.258
3586	3606	1	1.218	0.318
3606	3615	1	1.128	0.404
3615	3660	1	1.298	1.283
3639	3652	2	1.664	0.789
3652	3660	2	1.169	0.359
3660	3680	1	1.108	0.416
3660	3671	2	1.433	0.232
3754	3768	1	1.457	0.355
3768	3799	1	1.136	0.157
3799	3806	1	1.605	0.398
3806	3838	1	1.031	0.936
3819	3838	2	1.207	0.737
3819	3825	3	1.576	0.221
3825	3838	3	1.592	0.275
3838	3861	1	0.981	0.827
3838	3848	2	1.316	0.326
3848	3861	2	1.476	0.473
3861	3939	1	1.918	1.109
3861	3932	2	1.150	0.349
3925	3932	3	1.595	0.344
3939	3947	1	1.768	0.716
3947	3974	1	1.067	0.697
3966	3974	2	1.570	0.535
3974	3981	1	1.909	0.860
3981	4015	1	2.026	1.384
3981	4007	2	1.576	0.270
4007	4015	2	0.837	0.051
4015	4035	1	1.316	1.330
4015	4028	2	1.444	0.421
4028	4035	2	1.331	0.455
4035	4042	1	2.440	1.482
4042	4062	1	1.112	1.239
4042	4053	2	1.458	0.249
4053	4062	2	1.992	0.795
4062	4096	1	0.945	2.089
4062	4087	2	1.239	1.513
4062	4069	3	1.314	0.446
4069	4087	3	1.666	0.712
4069	4075	4	1.780	0.058
4087	4096	2	1.361	0.543
4096	4137	1	1.460	1.177
4096	4103	2	0.921	0.090
4103	4137	2	1.416	0.445
4137	4181	1	1.086	1.149
4137	4170	2	1.254	0.276
4170	4181	2	1.506	0.672
4181	4226	1	1.279	0.094
4226	4241	1	1.159	0.186
4241	4270	1	1.079	0.331
4252	4270	2	1.513	0.303
4270	4340	1	1.603	1.566
4270	4324	2	1.601	0.539
4283	4324	3	1.599	0.094
4324	4340	2	1.749	0.454
4340	4381	1	1.409	3.286
4340	4351	2	1.356	0.633
4351	4381	2	1.149	2.205
4351	4373	3	2.032	1.136
4373	4381	3	1.536	0.854
4381	4405	1	1.134	2.040
4381	4398	2	1.554	0.633
4398	4405	2	2.167	0.842
4405	4412	1	1.498	0.843
4412	4471	1	1.252	1.217
4412	4457	2	1.761	0.961
4430	4450	3	1.785	0.207
4450	4457	3	0.942	0.338
4457	4471	2	1.189	0.236
4471	4613	1	1.319	3.703
4471	4477	2	1.670	1.037
4498	4504	2	1.503	0.508
4504	4519	2	1.234	0.229
4519	4531	2	1.521	0.654
4531	4564	2	1.744	0.675
4531	4558	3	1.474	0.143
4558	4564	3	0.875	0.121
4564	4576	2	1.426	0.456
4576	4613	2	1.413	0.009
4613	4647	1	0.885	3.352
4613	4634	2	1.769	1.977
4613	4621	3	1.580	0.327
4621	4634	3	2.061	0.787
4634	4647	2	1.965	1.219
4647	4653	1	2.354	1.652
4653	4836	1	1.151	9.614
4653	4669	2	1.862	1.065
4669	4836	2	1.224	8.414
4669	4829	3	1.331	7.331
4669	4697	4	1.118	1.230
4669	4685	5	1.782	0.710
4685	4697	5	1.322	0.253
4697	4744	4	1.655	0.861
4697	4710	5	1.412	0.086
4710	4744	5	1.428	0.558
4710	4734	6	1.540	0.178
4734	4744	6	1.430	0.281
4744	4761	4	1.993	0.781
4761	4768	4	1.530	0.559
4768	4788	4	1.078	1.424
4768	4775	5	1.591	0.530
4775	4788	5	1.589	0.618
4788	4829	4	1.737	2.183
4788	4820	5	1.554	1.413
4788	4798	6	1.308	0.487
4798	4820	6	1.876	0.601
4820	4829	5	1.525	0.271
4829	4836	3	2.146	0.891
4836	4864	1	0.879	3.222
4836	4858	2	1.950	0.970
4858	4864	2	3.108	2.251
